metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,29975.000000000004,51775.00000000001,95375,245250.00000000003,2011
10140,24525,46325,73575,245250.00000000003,2011
10180,24525,46325,95375,245250.00000000003,2011
10220,24525,46325,73575,245250.00000000003,2011
10260,5450,13625.000000000002,29975.000000000004,245250.00000000003,2011
10300,29975.000000000004,51775.00000000001,95375,245250.00000000003,2011
10380,5450,19075,29975.000000000004,245250.00000000003,2011
10420,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
10460,19075,40875,73575,245250.00000000003,2011
10500,19075,40875,73575,245250.00000000003,2011
10540,24525,51775.00000000001,73575,245250.00000000003,2011
10580,35425,73575,122625.00000000001,245250.00000000003,2011
10620,24525,46325,73575,245250.00000000003,2011
10660,24525,46325,73575,245250.00000000003,2011
10700,19075,40875,73575,245250.00000000003,2011
10740,24525,51775.00000000001,95375,245250.00000000003,2011
10760,19075,40875,73575,245250.00000000003,2011
10780,19075,46325,73575,245250.00000000003,2011
10820,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
10860,19075,40875,73575,245250.00000000003,2011
10900,35425,59950.00000000001,95375,245250.00000000003,2011
10940,24525,40875,73575,245250.00000000003,2011
10980,19075,40875,73575,245250.00000000003,2011
11020,24525,46325,73575,245250.00000000003,2011
11060,24525,46325,73575,245250.00000000003,2011
11100,24525,51775.00000000001,95375,245250.00000000003,2011
11140,13625.000000000002,35425,73575,245250.00000000003,2011
11180,24525,51775.00000000001,95375,245250.00000000003,2011
11220,24525,46325,95375,245250.00000000003,2011
11244,40875,95375,149875,245250.00000000003,2011
11260,46325,95375,122625.00000000001,245250.00000000003,2011
11380,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
11420,29975.000000000004,51775.00000000001,95375,245250.00000000003,2011
11460,29975.000000000004,59950.00000000001,122625.00000000001,245250.00000000003,2011
11500,19075,40875,73575,245250.00000000003,2011
11540,35425,59950.00000000001,95375,245250.00000000003,2011
11580,19075,35425,59950.00000000001,245250.00000000003,2011
11620,24525,46325,73575,245250.00000000003,2011
11640,5450,19075,35425,245250.00000000003,2011
11660,13625.000000000002,35425,73575,245250.00000000003,2011
11680,24525,46325,73575,245250.00000000003,2011
11700,24525,46325,95375,245250.00000000003,2011
11740,24525,51775.00000000001,73575,245250.00000000003,2011
11780,19075,46325,73575,245250.00000000003,2011
11820,24525,46325,95375,245250.00000000003,2011
11860,24525,46325,73575,245250.00000000003,2011
11900,13625.000000000002,35425,73575,245250.00000000003,2011
11940,19075,40875,73575,245250.00000000003,2011
11980,24525,46325,73575,245250.00000000003,2011
12020,19075,46325,95375,245250.00000000003,2011
12060,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
12100,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
12120,13625.000000000002,35425,59950.00000000001,245250.00000000003,2011
12140,29975.000000000004,51775.00000000001,73575,245250.00000000003,2011
12180,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
12220,19075,46325,95375,245250.00000000003,2011
12260,24525,51775.00000000001,95375,245250.00000000003,2011
12300,24525,51775.00000000001,95375,245250.00000000003,2011
12380,24525,51775.00000000001,95375,245250.00000000003,2011
12420,35425,73575,122625.00000000001,245250.00000000003,2011
12460,13625.000000000002,29975.000000000004,59950.00000000001,245250.00000000003,2011
12540,24525,51775.00000000001,95375,245250.00000000003,2011
12580,35425,73575,122625.00000000001,245250.00000000003,2011
12620,24525,46325,73575,245250.00000000003,2011
12660,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
12680,24525,46325,73575,245250.00000000003,2011
12700,35425,73575,122625.00000000001,245250.00000000003,2011
12740,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
12780,29975.000000000004,51775.00000000001,95375,245250.00000000003,2011
12820,13625.000000000002,29975.000000000004,59950.00000000001,245250.00000000003,2011
12860,29975.000000000004,51775.00000000001,95375,245250.00000000003,2011
12900,19075,35425,59950.00000000001,245250.00000000003,2011
12940,24525,59950.00000000001,95375,245250.00000000003,2011
12980,24525,46325,73575,245250.00000000003,2011
13020,24525,51775.00000000001,95375,245250.00000000003,2011
13060,24525,46325,95375,245250.00000000003,2011
13100,24525,51775.00000000001,95375,245250.00000000003,2011
13140,24525,46325,95375,245250.00000000003,2011
13180,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
13220,19075,40875,73575,245250.00000000003,2011
13260,24525,46325,73575,245250.00000000003,2011
13300,24525,46325,73575,245250.00000000003,2011
13340,24525,51775.00000000001,73575,245250.00000000003,2011
13380,24525,59950.00000000001,95375,245250.00000000003,2011
13420,24525,46325,73575,245250.00000000003,2011
13460,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
13500,13625.000000000002,29975.000000000004,51775.00000000001,245250.00000000003,2011
13540,29975.000000000004,51775.00000000001,95375,245250.00000000003,2011
13620,24525,46325,73575,245250.00000000003,2011
13660,24525,40875,73575,245250.00000000003,2011
13700,24525,51775.00000000001,95375,245250.00000000003,2011
13720,19075,40875,73575,245250.00000000003,2011
13740,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
13780,24525,51775.00000000001,95375,245250.00000000003,2011
13820,24525,51775.00000000001,95375,245250.00000000003,2011
13900,35425,73575,95375,245250.00000000003,2011
13940,29975.000000000004,51775.00000000001,95375,245250.00000000003,2011
13980,24525,46325,95375,245250.00000000003,2011
14010,29975.000000000004,73575,122625.00000000001,245250.00000000003,2011
14020,19075,46325,95375,245250.00000000003,2011
14100,24525,51775.00000000001,95375,245250.00000000003,2011
14140,19075,40875,73575,245250.00000000003,2011
14180,19075,40875,73575,245250.00000000003,2011
14220,13625.000000000002,35425,59950.00000000001,245250.00000000003,2011
14260,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
14300,24525,46325,73575,245250.00000000003,2011
14340,29975.000000000004,59950.00000000001,95375,245250.00000000003,2011
