metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,28050,56100,89250,229500,2016
10140,22950,48450,89250,229500,2016
10180,28050,48450,89250,229500,2016
10220,22950,48450,89250,229500,2016
10260,5100,12750,28050,229500,2016
10300,28050,56100,89250,229500,2016
10380,5100,17850,33150,229500,2016
10420,28050,56100,89250,229500,2016
10460,22950,43350,68850,229500,2016
10500,22950,43350,89250,229500,2016
10540,28050,56100,89250,229500,2016
10580,33150,68850,114750,229500,2016
10620,28050,48450,89250,229500,2016
10660,28050,56100,89250,229500,2016
10700,22950,43350,89250,229500,2016
10740,28050,56100,89250,229500,2016
10760,17850,43350,68850,229500,2016
10780,22950,43350,89250,229500,2016
10820,33150,56100,89250,229500,2016
10860,17850,43350,89250,229500,2016
10900,33150,68850,114750,229500,2016
10940,22950,43350,68850,229500,2016
10980,22950,43350,68850,229500,2016
11020,22950,48450,89250,229500,2016
11060,22950,48450,89250,229500,2016
11100,28050,56100,89250,229500,2016
11140,17850,38250,68850,229500,2016
11180,22950,56100,89250,229500,2016
11220,22950,48450,89250,229500,2016
11244,43350,89250,140250,229500,2016
11260,43350,89250,140250,229500,2016
11380,38250,68850,114750,229500,2016
11420,33150,56100,89250,229500,2016
11460,33150,68850,114750,229500,2016
11500,22950,48450,89250,229500,2016
11540,38250,68850,114750,229500,2016
11580,17850,33150,56100,229500,2016
11620,22950,48450,89250,229500,2016
11640,5100,17850,33150,229500,2016
11660,17850,38250,68850,229500,2016
11680,28050,48450,89250,229500,2016
11700,28050,56100,89250,229500,2016
11740,28050,56100,89250,229500,2016
11780,22950,43350,89250,229500,2016
11820,28050,56100,89250,229500,2016
11860,22950,48450,68850,229500,2016
11900,17850,38250,68850,229500,2016
11940,17850,43350,68850,229500,2016
11980,22950,48450,89250,229500,2016
12020,22950,48450,89250,229500,2016
12060,33150,68850,114750,229500,2016
12100,28050,56100,114750,229500,2016
12120,12750,33150,68850,229500,2016
12140,28050,56100,89250,229500,2016
12180,28050,56100,89250,229500,2016
12220,22950,48450,89250,229500,2016
12260,28050,56100,89250,229500,2016
12300,28050,56100,89250,229500,2016
12380,28050,56100,89250,229500,2016
12420,38250,68850,114750,229500,2016
12460,17850,38250,68850,229500,2016
12540,28050,56100,89250,229500,2016
12580,38250,89250,140250,229500,2016
12620,22950,48450,89250,229500,2016
12660,33150,56100,89250,229500,2016
12680,28050,56100,89250,229500,2016
12700,38250,68850,114750,229500,2016
12740,33150,68850,114750,229500,2016
12780,28050,56100,89250,229500,2016
12820,17850,33150,68850,229500,2016
12860,33150,56100,89250,229500,2016
12900,22950,43350,68850,229500,2016
12940,28050,56100,114750,229500,2016
12980,22950,48450,89250,229500,2016
13020,28050,48450,89250,229500,2016
13060,22950,48450,89250,229500,2016
13100,28050,56100,89250,229500,2016
13140,22950,56100,89250,229500,2016
13180,33150,56100,89250,229500,2016
13220,22950,43350,68850,229500,2016
13260,28050,56100,89250,229500,2016
13300,17850,43350,68850,229500,2016
13340,28050,56100,89250,229500,2016
13380,33150,56100,89250,229500,2016
13420,22950,48450,89250,229500,2016
13460,33150,68850,114750,229500,2016
13500,17850,33150,56100,229500,2016
13540,28050,56100,89250,229500,2016
13620,22950,43350,89250,229500,2016
13660,22950,43350,89250,229500,2016
13700,28050,56100,89250,229500,2016
13720,17850,33150,68850,229500,2016
13740,33150,56100,89250,229500,2016
13780,28050,56100,89250,229500,2016
13820,28050,56100,89250,229500,2016
13900,38250,68850,114750,229500,2016
13940,28050,56100,89250,229500,2016
13980,22950,56100,89250,229500,2016
14010,33150,68850,114750,229500,2016
14020,22950,48450,89250,229500,2016
14100,28050,56100,89250,229500,2016
14140,22950,43350,68850,229500,2016
14180,17850,38250,68850,229500,2016
14220,17850,33150,68850,229500,2016
14260,33150,56100,89250,229500,2016
14300,28050,56100,89250,229500,2016
14340,33150,68850,89250,229500,2016
