metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,29150,58300,92750,238500,2014
10140,23850,45050,71550,238500,2014
10180,23850,50350,92750,238500,2014
10220,23850,45050,71550,238500,2014
10260,5300,13250,29150,238500,2014
10300,29150,50350,92750,238500,2014
10380,5300,18550,34450,238500,2014
10420,29150,58300,92750,238500,2014
10460,18550,45050,71550,238500,2014
10500,18550,39750,71550,238500,2014
10540,23850,50350,92750,238500,2014
10580,34450,71550,119250,238500,2014
10620,23850,45050,71550,238500,2014
10660,29150,50350,92750,238500,2014
10700,23850,39750,71550,238500,2014
10740,23850,50350,92750,238500,2014
10760,18550,39750,71550,238500,2014
10780,23850,45050,92750,238500,2014
10820,29150,58300,92750,238500,2014
10860,18550,45050,92750,238500,2014
10900,34450,71550,119250,238500,2014
10940,23850,45050,71550,238500,2014
10980,18550,39750,71550,238500,2014
11020,23850,45050,92750,238500,2014
11060,23850,45050,71550,238500,2014
11100,29150,58300,92750,238500,2014
11140,18550,34450,71550,238500,2014
11180,23850,58300,92750,238500,2014
11220,23850,45050,92750,238500,2014
11244,39750,92750,145750,238500,2014
11260,45050,92750,145750,238500,2014
11380,34450,71550,119250,238500,2014
11420,29150,50350,92750,238500,2014
11460,34450,71550,119250,238500,2014
11500,23850,45050,71550,238500,2014
11540,34450,71550,92750,238500,2014
11580,18550,34450,58300,238500,2014
11620,23850,50350,92750,238500,2014
11640,5300,18550,34450,238500,2014
11660,18550,39750,71550,238500,2014
11680,23850,45050,71550,238500,2014
11700,23850,50350,92750,238500,2014
11740,29150,50350,71550,238500,2014
11780,23850,45050,71550,238500,2014
11820,23850,50350,92750,238500,2014
11860,18550,50350,71550,238500,2014
11900,13250,34450,71550,238500,2014
11940,18550,39750,71550,238500,2014
11980,23850,45050,92750,238500,2014
12020,18550,45050,92750,238500,2014
12060,34450,58300,119250,238500,2014
12100,29150,58300,92750,238500,2014
12120,13250,34450,58300,238500,2014
12140,29150,50350,92750,238500,2014
12180,29150,58300,92750,238500,2014
12220,18550,45050,92750,238500,2014
12260,23850,50350,92750,238500,2014
12300,23850,50350,92750,238500,2014
12380,29150,58300,92750,238500,2014
12420,34450,71550,119250,238500,2014
12460,13250,34450,71550,238500,2014
12540,23850,50350,92750,238500,2014
12580,39750,71550,145750,238500,2014
12620,23850,50350,92750,238500,2014
12660,29150,58300,92750,238500,2014
12680,29150,58300,92750,238500,2014
12700,34450,71550,119250,238500,2014
12740,29150,58300,92750,238500,2014
12780,29150,50350,92750,238500,2014
12820,13250,29150,58300,238500,2014
12860,29150,58300,92750,238500,2014
12900,18550,39750,71550,238500,2014
12940,29150,58300,92750,238500,2014
12980,23850,45050,92750,238500,2014
13020,23850,50350,92750,238500,2014
13060,18550,45050,92750,238500,2014
13100,29150,50350,92750,238500,2014
13140,23850,50350,92750,238500,2014
13180,34450,58300,92750,238500,2014
13220,23850,39750,71550,238500,2014
13260,23850,50350,92750,238500,2014
13300,23850,45050,71550,238500,2014
13340,29150,58300,92750,238500,2014
13380,29150,58300,92750,238500,2014
13420,23850,45050,71550,238500,2014
13460,29150,58300,92750,238500,2014
13500,13250,34450,58300,238500,2014
13540,29150,58300,92750,238500,2014
13620,23850,45050,71550,238500,2014
13660,23850,45050,71550,238500,2014
13700,29150,58300,92750,238500,2014
13720,18550,34450,71550,238500,2014
13740,29150,58300,92750,238500,2014
13780,23850,50350,92750,238500,2014
13820,23850,58300,92750,238500,2014
13900,39750,71550,119250,238500,2014
13940,29150,50350,92750,238500,2014
13980,23850,50350,92750,238500,2014
14010,34450,71550,119250,238500,2014
14020,23850,45050,92750,238500,2014
14100,23850,50350,92750,238500,2014
14140,18550,39750,71550,238500,2014
14180,18550,34450,71550,238500,2014
14220,18550,34450,71550,238500,2014
14260,29150,58300,92750,238500,2014
14300,23850,50350,92750,238500,2014
14340,29150,58300,92750,238500,2014
14380,13250,39750,71550,238500,2014
14420,23850,50350,92750,238500,2014
14454,34450,71550,145750,238500,2014
14500,39750,71550,145750,238500,2014
14540,23850,50350,92750,238500,2014
14580,34450,58300,92750,238500,2014
14620,23850,45050,71550,238500,2014
14660,29150,50350,92750,238500,2014
14700,23850,39750,71550,238500,2014
14720,39750,71550,119250,238500,2014
14740,34450,71550,119250,238500,2014
14780,29150,58300,92750,238500,2014
14820,23850,45050,71550,238500,2014
14860,45050,92750,185500,238500,2014
15020,18550,39750,71550,238500,2014
15060,23850,39750,71550,238500,2014
15100,29150,58300,92750,238500,2014
15140,18550,34450,58300,238500,2014
15180,18550,34450,71550,238500,2014
15220,23850,45050,71550,238500,2014
15260,23850,45050,92750,238500,2014
15340,23850,45050,71550,238500,2014
15380,29150,58300,92750,238500,2014
15420,29150,50350,71550,238500,2014
15460,29150,45050,92750,238500,2014
15500,23850,45050,92750,238500,2014
15540,34450,71550,119250,238500,2014
15580,18550,39750,71550,238500,2014
15620,23850,45050,71550,238500,2014
15660,23850,45050,71550,238500,2014
15680,50350,92750,145750,238500,2014
15700,23850,50350,92750,238500,2014
15740,23850,45050,71550,238500,2014
15764,39750,92750,145750,238500,2014
15780,18550,34450,71550,238500,2014
15804,39750,71550,119250,238500,2014
15820,18550,34450,58300,238500,2014
15860,23850,45050,71550,238500,2014
15900,23850,50350,92750,238500,2014
15940,29150,50350,92750,238500,2014
15980,29150,58300,92750,238500,2014
16020,23850,50350,92750,238500,2014
16060,18550,45050,71550,238500,2014
16100,34450,58300,92750,238500,2014
16140,29150,58300,92750,238500,2014
16180,23850,50350,92750,238500,2014
16220,34450,58300,92750,238500,2014
16260,23850,45050,71550,238500,2014
16300,34450,71550,92750,238500,2014
16340,18550,39750,71550,238500,2014
16380,29150,58300,92750,238500,2014
16420,18550,45050,71550,238500,2014
16460,23850,45050,71550,238500,2014
16500,23850,45050,92750,238500,2014
16540,34450,58300,92750,238500,2014
16580,23850,58300,92750,238500,2014
16620,23850,50350,92750,238500,2014
16660,23850,39750,71550,238500,2014
16700,29150,58300,92750,238500,2014
16740,29150,58300,92750,238500,2014
16820,34450,71550,119250,238500,2014
16860,23850,50350,92750,238500,2014
16940,34450,71550,119250,238500,2014
16974,34450,71550,119250,238500,2014
17020,23850,45050,92750,238500,2014
17060,23850,45050,92750,238500,2014
17140,29150,58300,92750,238500,2014
17200,34450,58300,92750,238500,2014
17220,23850,45050,92750,238500,2014
17260,13250,29150,58300,238500,2014
17300,29150,50350,92750,238500,2014
17340,18550,39750,71550,238500,2014
17380,13250,29150,58300,238500,2014
17420,23850,45050,92750,238500,2014
17460,23850,58300,92750,238500,2014
17500,18550,39750,71550,238500,2014
17540,23850,50350,92750,238500,2014
17580,23850,45050,71550,238500,2014
17620,5300,18550,39750,238500,2014
17640,5300,18550,34450,238500,2014
17660,29150,58300,92750,238500,2014
17700,23850,45050,71550,238500,2014
17740,29150,50350,71550,238500,2014
17780,23850,45050,92750,238500,2014
17820,34450,71550,119250,238500,2014
17860,23850,58300,92750,238500,2014
17900,29150,58300,92750,238500,2014
17980,23850,45050,92750,238500,2014
18020,29150,58300,92750,238500,2014
18060,18550,45050,71550,238500,2014
18100,29150,58300,92750,238500,2014
18140,29150,58300,92750,238500,2014
18180,34450,71550,119250,238500,2014
18220,23850,45050,71550,238500,2014
18260,18550,39750,71550,238500,2014
18300,23850,39750,71550,238500,2014
18380,13250,34450,58300,238500,2014
18420,18550,39750,71550,238500,2014
18460,23850,45050,71550,238500,2014
18500,29150,50350,92750,238500,2014
18580,29150,58300,92750,238500,2014
18620,23850,45050,71550,238500,2014
18660,29150,58300,92750,238500,2014
18700,23850,58300,92750,238500,2014
18740,23850,45050,71550,238500,2014
18780,29150,58300,92750,238500,2014
18820,29150,50350,92750,238500,2014
18860,18550,45050,71550,238500,2014
18880,29150,58300,92750,238500,2014
18900,23850,39750,71550,238500,2014
18980,23850,39750,71550,238500,2014
19000,18550,39750,71550,238500,2014
19060,18550,45050,71550,238500,2014
19124,34450,71550,119250,238500,2014
19140,23850,45050,71550,238500,2014
19180,23850,45050,92750,238500,2014
19220,18550,39750,71550,238500,2014
19260,18550,39750,71550,238500,2014
19300,29150,58300,92750,238500,2014
19340,29150,58300,92750,238500,2014
19380,23850,50350,92750,238500,2014
19420,18550,39750,71550,238500,2014
19460,23850,50350,92750,238500,2014
19500,23850,50350,92750,238500,2014
19540,29150,50350,71550,238500,2014
19580,29150,50350,92750,238500,2014
19620,23850,45050,92750,238500,2014
19660,23850,45050,71550,238500,2014
19700,13250,29150,50350,238500,2014
19740,39750,71550,119250,238500,2014
19760,23850,50350,92750,238500,2014
19780,34450,71550,119250,238500,2014
19804,18550,45050,92750,238500,2014
19860,39750,92750,119250,238500,2014
19940,29150,58300,92750,238500,2014
19980,29150,50350,92750,238500,2014
20020,18550,45050,71550,238500,2014
20060,18550,34450,71550,238500,2014
20100,29150,58300,92750,238500,2014
20140,13250,34450,71550,238500,2014
20180,23850,45050,71550,238500,2014
20220,29150,58300,92750,238500,2014
20260,23850,50350,92750,238500,2014
20300,34450,50350,92750,238500,2014
20340,23850,45050,92750,238500,2014
20380,23850,50350,92750,238500,2014
20420,34450,71550,119250,238500,2014
20460,23850,39750,71550,238500,2014
20500,29150,58300,119250,238500,2014
20524,39750,92750,145750,238500,2014
20540,23850,45050,71550,238500,2014
20580,18550,39750,71550,238500,2014
20660,29150,58300,119250,238500,2014
20700,34450,58300,92750,238500,2014
20740,29150,58300,92750,238500,2014
20780,50350,92750,145750,238500,2014
20820,29150,58300,92750,238500,2014
20900,23850,50350,92750,238500,2014
20940,18550,45050,92750,238500,2014
20980,18550,39750,71550,238500,2014
20994,39750,71550,119250,238500,2014
21020,23850,50350,92750,238500,2014
21060,29150,58300,92750,238500,2014
21120,23850,50350,92750,238500,2014
21140,29150,50350,92750,238500,2014
21180,18550,39750,71550,238500,2014
21220,45050,71550,119250,238500,2014
21260,23850,50350,92750,238500,2014
21300,23850,50350,92750,238500,2014
21340,23850,45050,71550,238500,2014
21380,23850,45050,71550,238500,2014
21420,29150,50350,92750,238500,2014
21460,23850,50350,92750,238500,2014
21500,23850,50350,92750,238500,2014
21540,23850,45050,71550,238500,2014
21580,13250,34450,71550,238500,2014
21640,13250,34450,58300,238500,2014
21660,23850,50350,92750,238500,2014
21700,23850,45050,71550,238500,2014
21740,29150,58300,92750,238500,2014
21780,29150,50350,92750,238500,2014
21820,45050,71550,119250,238500,2014
21840,23850,45050,71550,238500,2014
21860,29150,50350,92750,238500,2014
21900,23850,50350,92750,238500,2014
21980,29150,50350,92750,238500,2014
22020,29150,58300,92750,238500,2014
22060,34450,58300,92750,238500,2014
22100,23850,45050,71550,238500,2014
22140,23850,50350,92750,238500,2014
22180,23850,45050,92750,238500,2014
22220,29150,58300,92750,238500,2014
22260,29150,58300,92750,238500,2014
22280,29150,50350,92750,238500,2014
22300,29150,58300,92750,238500,2014
22340,13250,29150,58300,238500,2014
22380,23850,58300,92750,238500,2014
22420,23850,45050,92750,238500,2014
22500,23850,45050,71550,238500,2014
22520,23850,45050,92750,238500,2014
22540,34450,58300,92750,238500,2014
22580,18550,39750,71550,238500,2014
22620,18550,34450,58300,238500,2014
22660,34450,71550,119250,238500,2014
22700,23850,45050,71550,238500,2014
22744,29150,58300,92750,238500,2014
22780,29150,50350,71550,238500,2014
22800,29150,50350,92750,238500,2014
22820,29150,50350,92750,238500,2014
22840,18550,39750,71550,238500,2014
22860,23850,50350,71550,238500,2014
22900,18550,39750,71550,238500,2014
23060,29150,58300,92750,238500,2014
23104,34450,71550,119250,238500,2014
23140,29150,50350,92750,238500,2014
23180,29150,58300,92750,238500,2014
23240,29150,58300,92750,238500,2014
23300,23850,50350,71550,238500,2014
23340,29150,50350,71550,238500,2014
23380,29150,50350,92750,238500,2014
23420,23850,50350,92750,238500,2014
23460,23850,45050,71550,238500,2014
23500,18550,34450,71550,238500,2014
23540,23850,45050,92750,238500,2014
23580,29150,58300,92750,238500,2014
23620,29150,58300,92750,238500,2014
23660,23850,45050,71550,238500,2014
23700,13250,29150,71550,238500,2014
23780,29150,50350,92750,238500,2014
23820,34450,58300,92750,238500,2014
23844,29150,58300,92750,238500,2014
23860,23850,50350,92750,238500,2014
23900,34450,71550,92750,238500,2014
23940,45050,92750,119250,238500,2014
23980,18550,39750,71550,238500,2014
24020,29150,58300,92750,238500,2014
24060,39750,71550,119250,238500,2014
24100,23850,50350,92750,238500,2014
24140,23850,45050,71550,238500,2014
24220,23850,58300,92750,238500,2014
24260,29150,58300,92750,238500,2014
24300,29150,58300,92750,238500,2014
24330,29150,50350,92750,238500,2014
24340,34450,58300,92750,238500,2014
24380,18550,39750,71550,238500,2014
24420,18550,39750,71550,238500,2014
24460,23850,45050,71550,238500,2014
24500,23850,50350,92750,238500,2014
24540,34450,71550,119250,238500,2014
24580,29150,58300,92750,238500,2014
24620,18550,39750,71550,238500,2014
24640,29150,58300,92750,238500,2014
24660,23850,50350,92750,238500,2014
24700,34450,50350,92750,238500,2014
24740,13250,29150,58300,238500,2014
24780,18550,45050,92750,238500,2014
24820,29150,50350,92750,238500,2014
24860,23850,50350,92750,238500,2014
24900,13250,29150,58300,238500,2014
24940,18550,39750,71550,238500,2014
24980,18550,34450,71550,238500,2014
25020,5300,13250,29150,238500,2014
25060,23850,50350,92750,238500,2014
25100,29150,50350,71550,238500,2014
25180,34450,58300,92750,238500,2014
25200,29150,58300,92750,238500,2014
25220,18550,45050,92750,238500,2014
25260,23850,50350,92750,238500,2014
25300,29150,50350,71550,238500,2014
25420,34450,58300,92750,238500,2014
25460,23850,39750,71550,238500,2014
25500,29150,50350,92750,238500,2014
25540,34450,71550,119250,238500,2014
25580,29150,50350,92750,238500,2014
25620,18550,45050,92750,238500,2014
25700,23850,50350,92750,238500,2014
25720,39750,71550,119250,238500,2014
25740,34450,58300,92750,238500,2014
25760,13250,29150,58300,238500,2014
25780,18550,34450,58300,238500,2014
25820,29150,50350,71550,238500,2014
25840,29150,50350,92750,238500,2014
25860,23850,45050,71550,238500,2014
25880,23850,45050,71550,238500,2014
25900,23850,58300,92750,238500,2014
25940,34450,58300,92750,238500,2014
25980,23850,45050,71550,238500,2014
26020,29150,58300,92750,238500,2014
26090,34450,58300,92750,238500,2014
26140,23850,39750,71550,238500,2014
26220,34450,58300,92750,238500,2014
26260,18550,34450,58300,238500,2014
26300,18550,39750,71550,238500,2014
26340,18550,39750,71550,238500,2014
26380,23850,58300,92750,238500,2014
26420,34450,71550,119250,238500,2014
26460,29150,58300,92750,238500,2014
26500,23850,50350,71550,238500,2014
26540,29150,50350,92750,238500,2014
26580,23850,45050,92750,238500,2014
26620,29150,58300,119250,238500,2014
26660,18550,39750,71550,238500,2014
26700,23850,50350,71550,238500,2014
26740,29150,50350,71550,238500,2014
26780,34450,58300,92750,238500,2014
26820,29150,58300,92750,238500,2014
26860,23850,45050,92750,238500,2014
26900,29150,58300,92750,238500,2014
26940,13250,29150,58300,238500,2014
26960,29150,50350,92750,238500,2014
26980,29150,58300,119250,238500,2014
27020,23850,45050,71550,238500,2014
27060,23850,58300,92750,238500,2014
27100,23850,50350,92750,238500,2014
27140,23850,50350,92750,238500,2014
27160,18550,39750,71550,238500,2014
27180,23850,45050,92750,238500,2014
27220,39750,71550,119250,238500,2014
27260,29150,58300,92750,238500,2014
27300,23850,50350,92750,238500,2014
27340,29150,50350,71550,238500,2014
27380,23850,45050,71550,238500,2014
27420,29150,58300,92750,238500,2014
27460,23850,45050,71550,238500,2014
27500,29150,58300,92750,238500,2014
27540,29150,58300,92750,238500,2014
27580,5300,18550,29150,238500,2014
27600,29150,58300,92750,238500,2014
27620,29150,58300,92750,238500,2014
27660,18550,39750,92750,238500,2014
27700,18550,39750,71550,238500,2014
27740,18550,45050,71550,238500,2014
27780,23850,45050,92750,238500,2014
27860,23850,45050,71550,238500,2014
27900,23850,45050,71550,238500,2014
27920,29150,50350,71550,238500,2014
27940,58300,92750,145750,238500,2014
27980,39750,71550,119250,238500,2014
28020,29150,50350,92750,238500,2014
28060,29150,50350,92750,238500,2014
28100,29150,58300,92750,238500,2014
28140,34450,58300,119250,238500,2014
28180,34450,71550,119250,238500,2014
28260,29150,58300,92750,238500,2014
28300,29150,58300,92750,238500,2014
28340,29150,50350,92750,238500,2014
28380,13250,34450,58300,238500,2014
28420,34450,71550,92750,238500,2014
28500,23850,45050,92750,238500,2014
28540,34450,71550,119250,238500,2014
28580,29150,71550,119250,238500,2014
28620,29150,58300,92750,238500,2014
28660,29150,58300,92750,238500,2014
28700,23850,45050,71550,238500,2014
28740,29150,71550,119250,238500,2014
28780,18550,45050,92750,238500,2014
28820,18550,39750,71550,238500,2014
28860,18550,39750,71550,238500,2014
28900,23850,45050,71550,238500,2014
28940,23850,50350,92750,238500,2014
29020,23850,50350,92750,238500,2014
29060,34450,71550,119250,238500,2014
29100,29150,58300,92750,238500,2014
29180,23850,50350,92750,238500,2014
29200,23850,50350,92750,238500,2014
29260,23850,45050,92750,238500,2014
29300,18550,45050,71550,238500,2014
29340,23850,50350,92750,238500,2014
29380,23850,45050,71550,238500,2014
29404,39750,71550,145750,238500,2014
29420,23850,39750,71550,238500,2014
29460,23850,45050,71550,238500,2014
29500,18550,45050,71550,238500,2014
29540,34450,58300,92750,238500,2014
29620,29150,58300,92750,238500,2014
29660,18550,45050,71550,238500,2014
29700,18550,39750,71550,238500,2014
29740,18550,39750,71550,238500,2014
29780,13250,29150,58300,238500,2014
29820,29150,58300,92750,238500,2014
29860,18550,39750,71550,238500,2014
29900,13250,29150,58300,238500,2014
29940,23850,58300,92750,238500,2014
29980,23850,45050,71550,238500,2014
30020,29150,50350,92750,238500,2014
30060,18550,39750,71550,238500,2014
30140,34450,58300,92750,238500,2014
30220,29150,50350,92750,238500,2014
30260,29150,50350,92750,238500,2014
30280,23850,45050,71550,238500,2014
30300,29150,50350,92750,238500,2014
30340,23850,50350,92750,238500,2014
30380,23850,45050,71550,238500,2014
30420,29150,58300,92750,238500,2014
30460,29150,58300,92750,238500,2014
30580,29150,50350,92750,238500,2014
30620,23850,50350,71550,238500,2014
30660,29150,58300,92750,238500,2014
30700,29150,58300,92750,238500,2014
30780,29150,58300,92750,238500,2014
30820,23850,50350,92750,238500,2014
30860,29150,58300,92750,238500,2014
30880,18550,39750,71550,238500,2014
30900,23850,45050,71550,238500,2014
30940,18550,34450,58300,238500,2014
30980,23850,50350,92750,238500,2014
31020,23850,50350,92750,238500,2014
31060,58300,119250,185500,238500,2014
31084,29150,58300,119250,238500,2014
31140,29150,58300,92750,238500,2014
31180,23850,50350,92750,238500,2014
31220,23850,45050,71550,238500,2014
31260,23850,45050,71550,238500,2014
31300,13250,34450,58300,238500,2014
31340,29150,50350,92750,238500,2014
31380,18550,45050,92750,238500,2014
31420,18550,45050,92750,238500,2014
31460,23850,50350,92750,238500,2014
31500,29150,50350,92750,238500,2014
31540,34450,71550,119250,238500,2014
31580,23850,45050,71550,238500,2014
31620,18550,39750,71550,238500,2014
31660,23850,50350,92750,238500,2014
31680,23850,45050,71550,238500,2014
31700,39750,71550,119250,238500,2014
31740,29150,50350,92750,238500,2014
31820,29150,50350,92750,238500,2014
31860,29150,58300,92750,238500,2014
31900,23850,45050,71550,238500,2014
31930,23850,45050,92750,238500,2014
31940,23850,45050,71550,238500,2014
