metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,28600,57200,91000,234000,2015
10140,23400,44200,91000,234000,2015
10180,28600,49400,91000,234000,2015
10220,23400,49400,91000,234000,2015
10260,5200,13000,23400,234000,2015
10300,28600,57200,91000,234000,2015
10380,5200,18200,33800,234000,2015
10420,28600,57200,91000,234000,2015
10460,23400,44200,70200,234000,2015
10500,18200,44200,70200,234000,2015
10540,28600,49400,91000,234000,2015
10580,33800,70200,117000,234000,2015
10620,23400,49400,91000,234000,2015
10660,28600,57200,91000,234000,2015
10700,23400,44200,70200,234000,2015
10740,23400,57200,91000,234000,2015
10760,18200,44200,70200,234000,2015
10780,23400,44200,91000,234000,2015
10820,33800,57200,91000,234000,2015
10860,18200,44200,91000,234000,2015
10900,33800,70200,117000,234000,2015
10940,23400,44200,70200,234000,2015
10980,23400,44200,70200,234000,2015
11020,23400,49400,91000,234000,2015
11060,23400,44200,91000,234000,2015
11100,28600,57200,91000,234000,2015
11140,18200,33800,70200,234000,2015
11180,23400,57200,91000,234000,2015
11220,23400,49400,91000,234000,2015
11244,44200,91000,143000,234000,2015
11260,44200,91000,143000,234000,2015
11380,33800,70200,117000,234000,2015
11420,33800,57200,91000,234000,2015
11460,33800,70200,117000,234000,2015
11500,23400,44200,91000,234000,2015
11540,39000,70200,117000,234000,2015
11580,18200,39000,57200,234000,2015
11620,23400,49400,91000,234000,2015
11640,5200,18200,33800,234000,2015
11660,18200,39000,70200,234000,2015
11680,23400,49400,91000,234000,2015
11700,28600,49400,91000,234000,2015
11740,28600,49400,91000,234000,2015
11780,23400,44200,70200,234000,2015
11820,28600,49400,91000,234000,2015
11860,23400,49400,70200,234000,2015
11900,18200,39000,70200,234000,2015
11940,18200,39000,70200,234000,2015
11980,23400,44200,91000,234000,2015
12020,18200,44200,91000,234000,2015
12060,33800,70200,117000,234000,2015
12100,28600,57200,117000,234000,2015
12120,18200,33800,70200,234000,2015
12140,28600,57200,91000,234000,2015
12180,28600,57200,91000,234000,2015
12220,23400,49400,91000,234000,2015
12260,23400,49400,91000,234000,2015
12300,28600,49400,91000,234000,2015
12380,28600,57200,91000,234000,2015
12420,39000,70200,117000,234000,2015
12460,13000,39000,70200,234000,2015
12540,28600,57200,91000,234000,2015
12580,39000,91000,143000,234000,2015
12620,23400,49400,91000,234000,2015
12660,28600,57200,91000,234000,2015
12680,28600,57200,91000,234000,2015
12700,33800,70200,117000,234000,2015
12740,28600,57200,91000,234000,2015
12780,28600,57200,91000,234000,2015
12820,13000,33800,57200,234000,2015
12860,28600,57200,91000,234000,2015
12900,23400,39000,70200,234000,2015
12940,28600,57200,117000,234000,2015
12980,23400,49400,91000,234000,2015
13020,23400,49400,91000,234000,2015
13060,18200,44200,91000,234000,2015
13100,28600,57200,91000,234000,2015
13140,23400,49400,91000,234000,2015
