metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,29700.000000000004,59400.00000000001,94500,243000.00000000003,2012
10140,24300,45900,72900,243000.00000000003,2012
10180,24300,45900,94500,243000.00000000003,2012
10220,24300,45900,72900,243000.00000000003,2012
10260,5400,5400,29700.000000000004,243000.00000000003,2012
10300,29700.000000000004,51300,94500,243000.00000000003,2012
10380,5400,18900,35100,243000.00000000003,2012
10420,29700.000000000004,59400.00000000001,94500,243000.00000000003,2012
10460,18900,45900,72900,243000.00000000003,2012
10500,18900,40500,72900,243000.00000000003,2012
10540,24300,45900,72900,243000.00000000003,2012
10580,35100,72900,121500.00000000001,243000.00000000003,2012
10620,24300,45900,72900,243000.00000000003,2012
10660,24300,51300,72900,243000.00000000003,2012
10700,24300,40500,72900,243000.00000000003,2012
10740,24300,51300,94500,243000.00000000003,2012
10760,18900,40500,72900,243000.00000000003,2012
10780,18900,45900,94500,243000.00000000003,2012
10820,29700.000000000004,59400.00000000001,94500,243000.00000000003,2012
10860,24300,45900,72900,243000.00000000003,2012
10900,35100,59400.00000000001,94500,243000.00000000003,2012
10940,24300,45900,72900,243000.00000000003,2012
10980,18900,40500,72900,243000.00000000003,2012
11020,24300,45900,72900,243000.00000000003,2012
11060,24300,45900,72900,243000.00000000003,2012
11100,29700.000000000004,51300,94500,243000.00000000003,2012
11140,13500,35100,72900,243000.00000000003,2012
11180,24300,59400.00000000001,94500,243000.00000000003,2012
11220,24300,45900,94500,243000.00000000003,2012
11244,40500,94500,148500,243000.00000000003,2012
11260,45900,94500,121500.00000000001,243000.00000000003,2012
11380,29700.000000000004,72900,121500.00000000001,243000.00000000003,2012
11420,29700.000000000004,51300,72900,243000.00000000003,2012
11460,35100,72900,121500.00000000001,243000.00000000003,2012
11500,18900,45900,72900,243000.00000000003,2012
11540,35100,72900,94500,243000.00000000003,2012
11580,18900,40500,59400.00000000001,243000.00000000003,2012
11620,24300,45900,72900,243000.00000000003,2012
11640,5400,18900,35100,243000.00000000003,2012
11660,18900,35100,72900,243000.00000000003,2012
11680,24300,45900,72900,243000.00000000003,2012
11700,24300,45900,94500,243000.00000000003,2012
11740,24300,51300,72900,243000.00000000003,2012
11780,18900,45900,72900,243000.00000000003,2012
11820,29700.000000000004,51300,94500,243000.00000000003,2012
11860,18900,45900,72900,243000.00000000003,2012
11900,13500,35100,72900,243000.00000000003,2012
11940,18900,40500,72900,243000.00000000003,2012
11980,24300,45900,72900,243000.00000000003,2012
12020,18900,45900,94500,243000.00000000003,2012
12060,29700.000000000004,59400.00000000001,94500,243000.00000000003,2012
12100,29700.000000000004,59400.00000000001,94500,243000.00000000003,2012
12120,13500,35100,59400.00000000001,243000.00000000003,2012
12140,29700.000000000004,51300,94500,243000.00000000003,2012
12180,29700.000000000004,59400.00000000001,94500,243000.00000000003,2012
12220,18900,45900,94500,243000.00000000003,2012
12260,24300,51300,94500,243000.00000000003,2012
12300,24300,51300,94500,243000.00000000003,2012
12380,24300,51300,94500,243000.00000000003,2012
12420,35100,72900,121500.00000000001,243000.00000000003,2012
12460,13500,35100,59400.00000000001,243000.00000000003,2012
12540,24300,51300,94500,243000.00000000003,2012
12580,40500,72900,121500.00000000001,243000.00000000003,2012
12620,24300,45900,94500,243000.00000000003,2012
