metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,32500,55000,87500,225000,2017
10140,27500,47500,87500,225000,2017
10180,27500,55000,87500,225000,2017
10220,27500,47500,87500,225000,2017
10260,5000,12500,27500,225000,2017
10300,32500,55000,87500,225000,2017
10380,5000,17500,32500,225000,2017
10420,27500,55000,87500,225000,2017
10460,22500,42500,67500,225000,2017
10500,22500,42500,87500,225000,2017
10540,32500,55000,87500,225000,2017
10580,37500,67500,112500,225000,2017
10620,27500,55000,87500,225000,2017
10660,32500,55000,87500,225000,2017
10700,22500,47500,87500,225000,2017
10740,27500,55000,87500,225000,2017
10760,22500,47500,87500,225000,2017
10780,22500,47500,87500,225000,2017
10820,32500,67500,112500,225000,2017
10860,17500,42500,87500,225000,2017
10900,37500,67500,112500,225000,2017
10940,22500,47500,87500,225000,2017
10980,22500,42500,67500,225000,2017
11020,27500,47500,87500,225000,2017
11060,27500,47500,87500,225000,2017
11100,27500,55000,87500,225000,2017
11140,17500,37500,67500,225000,2017
11180,27500,55000,87500,225000,2017
11220,22500,47500,87500,225000,2017
11244,47500,87500,175000,225000,2017
11260,47500,87500,137500,225000,2017
11380,37500,87500,112500,225000,2017
11420,32500,55000,87500,225000,2017
11460,37500,67500,137500,225000,2017
11500,22500,47500,87500,225000,2017
11540,37500,67500,112500,225000,2017
11580,17500,32500,67500,225000,2017
11620,27500,55000,87500,225000,2017
11640,5000,17500,37500,225000,2017
11660,17500,42500,67500,225000,2017
11680,27500,47500,87500,225000,2017
11700,27500,55000,87500,225000,2017
11740,27500,55000,87500,225000,2017
11780,22500,47500,87500,225000,2017
11820,32500,55000,87500,225000,2017
11860,27500,47500,87500,225000,2017
11900,17500,42500,87500,225000,2017
11940,22500,42500,67500,225000,2017
11980,22500,47500,87500,225000,2017
12020,22500,47500,87500,225000,2017
12060,37500,67500,112500,225000,2017
12100,32500,67500,112500,225000,2017
12120,17500,37500,67500,225000,2017
12140,32500,55000,87500,225000,2017
12180,32500,55000,87500,225000,2017
12220,22500,55000,87500,225000,2017
12260,27500,55000,87500,225000,2017
12300,27500,55000,87500,225000,2017
12380,27500,55000,87500,225000,2017
12420,42500,87500,137500,225000,2017
12460,17500,42500,67500,225000,2017
12540,27500,55000,87500,225000,2017
12580,42500,87500,137500,225000,2017
12620,22500,55000,87500,225000,2017
12660,32500,55000,87500,225000,2017
12680,32500,55000,87500,225000,2017
12700,37500,67500,137500,225000,2017
12740,32500,67500,112500,225000,2017
12780,27500,55000,87500,225000,2017
12820,17500,32500,67500,225000,2017
12860,32500,67500,87500,225000,2017
12900,22500,42500,67500,225000,2017
