metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,26775,49725,84150,344250,2000
10140,26775,49725,84150,344250,2000
10180,26775,49725,84150,344250,2000
10220,19125,42075,72675,344250,2000
10260,7650,7650,26775,344250,2000
10300,42075,72675,103275,344250,2000
10380,7650,19125,34425,344250,2000
10420,34425,65025,103275,344250,2000
10460,26775,49725,72675,344250,2000
10500,26775,49725,84150,344250,2000
10540,34425,57375,84150,344250,2000
10580,34425,65025,103275,344250,2000
10620,26775,57375,84150,344250,2000
10660,34425,57375,84150,344250,2000
10700,26775,49725,84150,344250,2000
10740,34425,57375,103275,344250,2000
10760,19125,49725,84150,344250,2000
10780,19125,42075,84150,344250,2000
10820,26775,57375,84150,344250,2000
10860,19125,42075,72675,344250,2000
10900,34425,65025,103275,344250,2000
10940,34425,57375,84150,344250,2000
10980,26775,49725,84150,344250,2000
11020,26775,49725,84150,344250,2000
11060,26775,49725,84150,344250,2000
11100,26775,57375,103275,344250,2000
11140,19125,49725,84150,344250,2000
11180,34425,65025,103275,344250,2000
11220,26775,49725,84150,344250,2000
11244,49725,84150,133875,344250,2000
11260,49725,84150,133875,344250,2000
11380,26775,49725,84150,344250,2000
11420,42075,65025,103275,344250,2000
11460,42075,84150,133875,344250,2000
11500,26775,49725,84150,344250,2000
11540,49725,84150,103275,344250,2000
11580,26775,42075,72675,344250,2000
11620,19125,42075,84150,344250,2000
11640,7650,19125,34425,344250,2000
11660,19125,42075,72675,344250,2000
11680,26775,49725,84150,344250,2000
11700,34425,57375,84150,344250,2000
11740,34425,57375,84150,344250,2000
11780,26775,57375,84150,344250,2000
11820,26775,57375,84150,344250,2000
11860,26775,49725,72675,344250,2000
11900,19125,42075,72675,344250,2000
11940,26775,49725,84150,344250,2000
11980,26775,49725,84150,344250,2000
12020,26775,49725,84150,344250,2000
12060,42075,84150,133875,344250,2000
12100,34425,65025,103275,344250,2000
12120,19125,42075,72675,344250,2000
12140,42075,65025,103275,344250,2000
12180,34425,57375,84150,344250,2000
12220,19125,49725,84150,344250,2000
12260,26775,57375,103275,344250,2000
12300,26775,57375,84150,344250,2000
12380,34425,57375,84150,344250,2000
12420,42075,72675,133875,344250,2000
12460,19125,42075,72675,344250,2000
12540,26775,57375,103275,344250,2000
12580,42075,72675,133875,344250,2000
12620,26775,49725,84150,344250,2000
12660,34425,65025,103275,344250,2000
12680,26775,57375,84150,344250,2000
12700,42075,72675,103275,344250,2000
12740,34425,65025,103275,344250,2000
12780,26775,57375,103275,344250,2000
12820,19125,34425,72675,344250,2000
12860,34425,65025,103275,344250,2000
12900,26775,49725,72675,344250,2000
12940,26775,57375,103275,344250,2000
12980,34425,57375,103275,344250,2000
13020,34425,57375,103275,344250,2000
13060,19125,49725,84150,344250,2000
13100,26775,49725,84150,344250,2000
13140,26775,57375,103275,344250,2000
13180,42075,65025,103275,344250,2000
13220,19125,42075,72675,344250,2000
13260,26775,57375,84150,344250,2000
13300,19125,42075,72675,344250,2000
13340,34425,65025,103275,344250,2000
13380,34425,57375,103275,344250,2000
13420,26775,49725,84150,344250,2000
13460,34425,65025,103275,344250,2000
13500,19125,42075,72675,344250,2000
13540,34425,57375,103275,344250,2000
13620,26775,49725,84150,344250,2000
13660,26775,49725,84150,344250,2000
13700,26775,49725,84150,344250,2000
13720,19125,34425,65025,344250,2000
13740,26775,57375,84150,344250,2000
13780,26775,57375,103275,344250,2000
13820,26775,57375,103275,344250,2000
13900,34425,57375,103275,344250,2000
13940,34425,57375,84150,344250,2000
13980,26775,49725,84150,344250,2000
14010,34425,72675,103275,344250,2000
14020,26775,49725,103275,344250,2000
14100,26775,49725,84150,344250,2000
14140,19125,42075,72675,344250,2000
14180,19125,42075,72675,344250,2000
14220,19125,34425,65025,344250,2000
14260,34425,65025,103275,344250,2000
14300,26775,49725,84150,344250,2000
14340,34425,65025,84150,344250,2000
14380,26775,49725,84150,344250,2000
14420,26775,57375,84150,344250,2000
14454,42075,84150,133875,344250,2000
14500,42075,84150,133875,344250,2000
14540,26775,49725,84150,344250,2000
14580,34425,57375,84150,344250,2000
14620,26775,49725,84150,344250,2000
14660,26775,57375,84150,344250,2000
14700,26775,49725,72675,344250,2000
14720,49725,84150,133875,344250,2000
14740,42075,72675,103275,344250,2000
14780,26775,57375,84150,344250,2000
14820,34425,57375,84150,344250,2000
14860,49725,103275,172125,344250,2000
15020,19125,42075,72675,344250,2000
15060,26775,42075,72675,344250,2000
15100,26775,49725,84150,344250,2000
15140,19125,42075,72675,344250,2000
15180,19125,42075,72675,344250,2000
15220,19125,49725,84150,344250,2000
15260,26775,57375,103275,344250,2000
15340,26775,57375,84150,344250,2000
15380,26775,57375,103275,344250,2000
15420,26775,49725,72675,344250,2000
15460,34425,57375,84150,344250,2000
15500,34425,57375,103275,344250,2000
15540,42075,72675,103275,344250,2000
15580,19125,42075,84150,344250,2000
15620,26775,49725,84150,344250,2000
15660,34425,57375,84150,344250,2000
15680,49725,84150,133875,344250,2000
15700,26775,49725,84150,344250,2000
15740,26775,42075,72675,344250,2000
15764,42075,84150,133875,344250,2000
15780,19125,42075,72675,344250,2000
15804,42075,84150,133875,344250,2000
15820,19125,42075,72675,344250,2000
15860,26775,49725,84150,344250,2000
15900,26775,49725,84150,344250,2000
15940,34425,57375,103275,344250,2000
15980,34425,65025,103275,344250,2000
16020,26775,49725,84150,344250,2000
16060,19125,42075,84150,344250,2000
16100,26775,49725,84150,344250,2000
16140,26775,57375,84150,344250,2000
16180,34425,65025,103275,344250,2000
16220,26775,57375,103275,344250,2000
16260,26775,49725,84150,344250,2000
16300,42075,72675,103275,344250,2000
16340,26775,49725,84150,344250,2000
16380,34425,65025,103275,344250,2000
16420,19125,42075,72675,344250,2000
16460,26775,49725,84150,344250,2000
16500,26775,57375,84150,344250,2000
16540,34425,65025,103275,344250,2000
16580,26775,57375,103275,344250,2000
16620,26775,49725,84150,344250,2000
16660,26775,49725,84150,344250,2000
16700,34425,57375,103275,344250,2000
16740,42075,72675,103275,344250,2000
16820,34425,65025,103275,344250,2000
16860,26775,57375,103275,344250,2000
16940,34425,57375,103275,344250,2000
16974,42075,84150,133875,344250,2000
17020,26775,49725,84150,344250,2000
17060,26775,57375,84150,344250,2000
17140,34425,65025,103275,344250,2000
17200,34425,65025,103275,344250,2000
17220,19125,42075,84150,344250,2000
17260,7650,34425,72675,344250,2000
17300,34425,57375,84150,344250,2000
17340,26775,42075,84150,344250,2000
17380,7650,34425,65025,344250,2000
17420,26775,49725,84150,344250,2000
17460,34425,65025,103275,344250,2000
17500,26775,49725,84150,344250,2000
17540,26775,57375,84150,344250,2000
17580,19125,42075,72675,344250,2000
17620,7650,19125,34425,344250,2000
17640,7650,19125,34425,344250,2000
17660,34425,57375,84150,344250,2000
17700,26775,49725,72675,344250,2000
17740,34425,57375,84150,344250,2000
17780,19125,42075,84150,344250,2000
17820,42075,72675,103275,344250,2000
17860,26775,57375,103275,344250,2000
17900,34425,65025,103275,344250,2000
17980,26775,49725,84150,344250,2000
18020,34425,65025,103275,344250,2000
18060,19125,49725,84150,344250,2000
18100,34425,57375,84150,344250,2000
18140,34425,65025,103275,344250,2000
18180,42075,72675,103275,344250,2000
18220,34425,57375,84150,344250,2000
18260,26775,42075,72675,344250,2000
18300,26775,49725,84150,344250,2000
18380,19125,42075,72675,344250,2000
18420,19125,42075,72675,344250,2000
18460,26775,57375,84150,344250,2000
18500,26775,57375,84150,344250,2000
18580,26775,57375,103275,344250,2000
18620,19125,49725,84150,344250,2000
18660,26775,49725,84150,344250,2000
18700,34425,65025,103275,344250,2000
18740,26775,49725,84150,344250,2000
18780,34425,65025,84150,344250,2000
18820,34425,65025,103275,344250,2000
18860,19125,42075,84150,344250,2000
18880,34425,57375,103275,344250,2000
