metdiv,Year,inc_1,inc_2,inc_3,inc_4
16260,1990,28600,49400,80600,364000
16300,1990,33800,65000,96200,364000
16340,1990,23400,44200,75400,364000
16380,1990,33800,59800,91000,364000
16420,1990,15600,39000,70200,364000
16460,1990,23400,49400,80600,364000
16500,1990,23400,49400,85800,364000
16540,1990,33800,59800,91000,364000
16580,1990,28600,54600,91000,364000
16620,1990,23400,49400,85800,364000
16660,1990,23400,49400,85800,364000
16700,1990,33800,59800,91000,364000
16740,1990,33800,65000,101400,364000
16820,1990,33800,59800,101400,364000
16860,1990,28600,54600,85800,364000
16940,1990,33800,54600,91000,364000
16974,1990,39000,75400,119600,364000
17020,1990,23400,49400,80600,364000
17060,1990,23400,49400,85800,364000
17140,1990,33800,65000,101400,364000
17200,1990,33800,59800,96200,364000
17220,1990,15600,39000,70200,364000
17260,1990,5200,28600,59800,364000
17300,1990,28600,49400,75400,364000
17340,1990,23400,44200,80600,364000
17380,1990,15600,28600,59800,364000
17420,1990,23400,49400,85800,364000
17460,1990,33800,65000,101400,364000
17500,1990,28600,49400,80600,364000
17540,1990,28600,54600,85800,364000
17580,1990,23400,44200,75400,364000
17620,1990,NA,NA,NA,NA
17640,1990,NA,NA,NA,NA
17660,1990,28600,54600,85800,364000
17700,1990,23400,44200,75400,364000
17740,1990,28600,54600,80600,364000
17780,1990,15600,39000,80600,364000
17820,1990,33800,59800,96200,364000
17860,1990,28600,54600,91000,364000
17900,1990,33800,59800,96200,364000
17980,1990,23400,49400,85800,364000
18020,1990,33800,65000,96200,364000
18060,1990,23400,49400,80600,364000
18100,1990,33800,54600,85800,364000
18140,1990,33800,65000,101400,364000
18180,1990,44200,75400,109200,364000
18220,1990,28600,54600,85800,364000
18260,1990,23400,44200,70200,364000
18300,1990,23400,44200,75400,364000
18380,1990,15600,33800,70200,364000
18420,1990,15600,39000,70200,364000
18460,1990,28600,49400,80600,364000
18500,1990,28600,54600,85800,364000
18580,1990,23400,49400,85800,364000
18620,1990,23400,44200,80600,364000
18660,1990,28600,54600,85800,364000
18700,1990,28600,54600,96200,364000
18740,1990,23400,49400,80600,364000
18780,1990,28600,59800,91000,364000
18820,1990,33800,59800,85800,364000
